ext_id,coordinates,tags
node/315636814,47.1387841 9.5217904,"bench:yes;bin:yes;bus:yes;departures_board:realtime;ele:504;highway:bus_stop;lit:yes;local_ref:A;name:Vaduz Post;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;passenger_information_display:yes;public_transport:platform;shelter:yes;tactile_paving:yes;uic_name:Vaduz, Post;uic_ref:8509985;wheelchair:yes"
node/315636878,47.1404097 9.5194669,amenity:fountain
node/315636966,47.1357886 9.5207662,amenity:library;check_date:2024-03-02;check_date:opening_hours:2024-03-02;email:www.landesbibliothek.li;name:Landesbibliothek;opening_hours:Mo-Fr 09:00-18:30; Sa 13:00-17:00;operator:type:public;wheelchair:yes;wikidata:Q964098;wikimedia_commons:Category:Liechtensteinische Landesbibliothek;wikipedia:en:Liechtenstein State Library
node/315636967,47.1400138 9.5228187,addr:city:Vaduz;addr:country:LI;addr:housenumber:23;addr:postcode:9490;addr:street:Städtle;name:Residence Hotel;toilets:wheelchair:yes;tourism:hotel;wheelchair:yes
node/315637019,47.1407543 9.5241332,name:Känzile;tourism:viewpoint
node/315637069,47.1471256 9.523371,name:Park-Hotel Sonnenhof;tourism:hotel
node/315637103,47.1452479 9.5149895,"bench:yes;bus:yes;departures_board:realtime;ele:504;highway:bus_stop;name:Vaduz Hofkellerei;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;passenger_information_display:yes;public_transport:platform;shelter:yes;uic_name:Vaduz, Hofkellerei;uic_ref:8574389"
node/315637104,47.149045 9.512315,"bench:yes;bin:yes;bus:yes;departures_board:realtime;ele:504;highway:bus_stop;lit:yes;name:Vaduz Ebenholz/Universität;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;passenger_information_display:yes;public_transport:platform;shelter:yes;uic_name:Vaduz, Ebenholz/Universität;uic_ref:8509614"
node/315637114,47.1547748 9.5105919,"bench:yes;bin:yes;bus:yes;departures_board:timetable;ele:504;highway:bus_stop;lit:yes;name:Vaduz Mühleholz;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;public_transport:platform;shelter:yes;uic_name:Vaduz, Mühleholz;uic_ref:8509620"
node/316511086,47.160804 9.5089337,"bench:yes;bus:yes;ele:455;highway:bus_stop;name:Schaan Laurentiusbad;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;public_transport:platform;shelter:yes;uic_name:Schaan, Laurentiusbad;uic_ref:8574388"
node/316511088,47.1644497 9.508793,"bench:no;bin:yes;bus:yes;departures_board:timetable;ele:449;highway:bus_stop;name:Schaan Zentrum/LKW;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;public_transport:platform;shelter:no;uic_name:Schaan, Zentrum/LKW;uic_ref:8574387"
node/316511160,47.1679814 9.5049687,"bus:yes;ele:447;highway:bus_stop;name:Schaan Malarsch;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;public_transport:platform;uic_name:Schaan, Malarsch;uic_ref:8582436"
node/316511161,47.169604 9.4957406,"bench:yes;bin:yes;bus:yes;ele:447;highway:bus_stop;lit:yes;name:Schaan Rheindenkmal;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;public_transport:platform;shelter:yes;uic_name:Schaan, Rheindenkmal;uic_ref:8574385"
node/325993794,47.0634588 9.4922313,"bench:no;bus:yes;departures_board:timetable;ele:475;highway:bus_stop;name:Balzers Rheinstrasse;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;public_transport:platform;shelter:no;source:Bundesamt für Verkehr (BAV), DIDOK 2015;tactile_paving:yes;uic_name:Balzers, Rheinstrasse;uic_ref:8574407"
node/325993822,47.0729126 9.5096019,"bus:yes;departures_board:timetable;ele:474;highway:bus_stop;name:Balzers Egerta;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;public_transport:platform;shelter:yes;tactile_paving:yes;uic_name:Balzers, Egerta;uic_ref:8574402;wheelchair:yes"
node/325993829,47.0750216 9.5114071,"bus:yes;departures_board:timetable;ele:474;highway:bus_stop;name:Balzers Roxy;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;public_transport:platform;shelter:yes;tactile_paving:yes;uic_name:Balzers, Roxy;uic_ref:8574401;wheelchair:yes"
node/326058609,47.1335907 9.5220043,"bench:yes;bin:yes;bus:yes;departures_board:realtime;ele:504;highway:bus_stop;lit:yes;name:Vaduz Spital;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;passenger_information_display:yes;public_transport:platform;shelter:yes;uic_name:Vaduz, Spital;uic_ref:8574392;wheelchair:yes"
node/336434357,47.1427372 9.5187954,addr:city:Vaduz;addr:country:LI;addr:housenumber:35;addr:postcode:9490;addr:street:Herrengasse;name:Hotel-Gasthof Löwen;tourism:hotel
node/341536852,47.2056629 9.5339999,bus:yes;name:Eschen Sportpark;public_transport:stop_position
node/346146152,47.1032267 9.607689,bus:yes;name:Malbun Jöraboda;public_transport:stop_position
node/364146159,47.2299935 9.5467538,bus:yes;name:Schellenberg Stotz;public_transport:stop_position
node/364429960,47.0608546 9.4957341,amenity:fountain;drinking_water:yes;start_date:1886
node/367983118,47.1170718 9.5493805,bus:yes;name:Triesenberg Guferwald;public_transport:stop_position
node/367983195,47.1234406 9.5478134,bus:yes;name:Triesenberg Abzw. Masescha;public_transport:stop_position
node/367987490,47.1391569 9.5440797,bus:yes;name:Gaflei Matu;public_transport:stop_position
node/367987695,47.1423859 9.5444622,"bus:yes;name:Gaflei Klinik;public_transport:stop_position;uic_name:Gaflei, Klinik;uic_ref:8509609"
node/378904231,47.2075802 9.5278459,"ele:450;highway:bus_stop;name:Eschen Presta;public_transport:platform;shelter:yes;uic_name:Eschen, Presta;uic_ref:8574345"
node/392131824,47.2434481 9.5248169,bus:yes;name:Ruggell Giessa;public_transport:stop_position
node/392700768,47.1498619 9.5117913,"bench:yes;bus:yes;departures_board:realtime;ele:504;highway:bus_stop;name:Vaduz Ebenholz/Universität;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;passenger_information_display:yes;public_transport:platform;shelter:yes;uic_name:Vaduz, Ebenholz/Universität;uic_ref:8509614"
node/392700781,47.1685896 9.5016094,"bench:no;bus:yes;ele:447;highway:bus_stop;name:Schaan Zollstrasse;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;public_transport:platform;shelter:no;tactile_paving:no;uic_name:Schaan, Zollstrasse;uic_ref:8574386"
node/413757070,47.200484 9.5418676,ele:447;name:Nendeln;network:VVV;operator:ÖBB-Infrastruktur AG;public_transport:stop_position;railway:stop;railway:platform_height:25;railway:platform_length:119;ref:1;train:yes
node/413768032,47.2110519 9.5281107,"ele:450;highway:bus_stop;name:Eschen Kohlplatz;operator:LIEmobil;public_transport:platform;uic_name:Eschen, Kohlplatz;uic_ref:8574347"
node/413768034,47.2102711 9.5223037,"ele:450;highway:bus_stop;name:Eschen Eintracht;operator:LIEmobil;public_transport:platform;uic_name:Eschen, Eintracht;uic_ref:8574346"
node/413771327,47.2123627 9.5237389,bus:yes;name:Eschen Dorfplatz;old_name:Eschen Post;public_transport:stop_position
node/413773769,47.2174312 9.5689603,"bench:no;bin:yes;bus:yes;ele:456;highway:bus_stop;lit:yes;name:Schaanwald Zollamt;operator:LIEmobil;public_transport:platform;shelter:no;uic_name:Schaanwald, Zollamt;uic_ref:8574353"
node/413828077,47.1685979 9.5081543,ele:447;name:Schaan-Vaduz;note:H-Lst;operator:ÖBB-Infrastruktur AG;public_transport:stop_position;railway:halt;railway:platform_height:55;railway:platform_length:100;railway:position:15.9;railway:position:exact:15.875;railway:ref:Nd K1;ref:1;train:yes;uic_name:Schaan-Vaduz;uic_ref:8100482
node/414051393,47.201966 9.5422018,"bench:yes;bin:yes;bus:yes;departures_board:timetable;ele:452;highway:bus_stop;name:Nendeln Bahnhof;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;public_transport:platform;shelter:yes;uic_name:Nendeln, Bahnhof;uic_ref:8576755"
node/442697600,47.2038984 9.5724249,amenity:shelter;bin:yes;fireplace:yes;name:Paulahütte;operator:LAV;tourism:picnic_site
node/460929933,47.2155067 9.5505767,amenity:fountain;drinking_water:no
node/472567418,47.0596187 9.498614,amenity:fountain;drinking_water:yes
node/498566336,47.1508458 9.5335495,name:Wildschloss;tourism:viewpoint;wheelchair:no;wikipedia:de:Ruine Schalun
node/572519925,47.1325398 9.521694,amenity:fuel;brand:Toyota;compressed_air:yes;shop:car_repair
node/592633047,47.1679221 9.5058487,addr:country:LI;addr:housenumber:10;addr:street:Zollstrasse;amenity:cinema;name:TAKino;wheelchair:limited
node/596441646,47.0711722 9.4925856,"bus:yes;ele:474;highway:bus_stop;name:Balzers Sportplatz;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;public_transport:platform;uic_name:Balzers, Sportplatz;uic_ref:8581152"
node/596441649,47.0881436 9.5198939,"bench:yes;bin:yes;bus:yes;departures_board:timetable;ele:512;highway:bus_stop;name:Triesen Säga;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;public_transport:platform;shelter:yes;tactile_paving:yes;uic_name:Triesen, Säga;uic_ref:8574400;wheelchair:yes"
node/596441651,47.0929881 9.5244182,"bench:yes;bin:yes;bus:yes;departures_board:timetable;ele:463;highway:bus_stop;name:Triesen Gartnetschhof;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;public_transport:platform;shelter:yes;uic_name:Triesen, Gartnetschhof;uic_ref:8574399;wheelchair:no"
node/596441657,47.1216348 9.5238712,"bench:yes;bin:yes;bus:yes;departures_board:realtime;ele:466;highway:bus_stop;lit:yes;name:Triesen Messina;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;passenger_information_display:yes;public_transport:platform;shelter:yes;uic_name:Triesen, Messina;uic_ref:8580602"
node/596441660,47.1262566 9.5237145,"bench:yes;bus:yes;departures_board:timetable;ele:504;highway:bus_stop;name:Vaduz Rütti;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;public_transport:platform;shelter:yes;uic_name:Vaduz, Rütti;uic_ref:8574394;wheelchair:yes"
node/596441661,47.1258248 9.5235283,"bench:yes;bus:yes;departures_board:realtime;ele:504;highway:bus_stop;name:Vaduz Rütti;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;passenger_information_display:yes;public_transport:platform;shelter:yes;uic_name:Vaduz, Rütti;uic_ref:8574394;wheelchair:yes"
node/596456392,47.0691645 9.5069095,"bench:yes;bin:yes;bus:yes;departures_board:timetable;ele:474;highway:bus_stop;lit:yes;name:Balzers Alter Pfarrhof;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;public_transport:platform;shelter:yes;tactile_paving:yes;uic_name:Balzers, Alter Pfarrhof;uic_ref:8574403;wheelchair:yes"
node/596456398,47.0924844 9.5236417,"bench:yes;bin:yes;bus:yes;departures_board:timetable;ele:463;highway:bus_stop;name:Triesen Gartnetschhof;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;public_transport:platform;shelter:yes;uic_name:Triesen, Gartnetschhof;uic_ref:8574399;wheelchair:no"
node/596456403,47.1159287 9.5236315,"bench:yes;bin:yes;bus:yes;departures_board:realtime;ele:463;highway:bus_stop;lit:yes;name:Triesen Maschlina;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;passenger_information_display:yes;public_transport:platform;shelter:yes;tactile_paving:yes;uic_name:Triesen, Maschlina;uic_ref:8574396;wheelchair:yes"
node/597898783,47.1636988 9.5112258,amenity:fountain
node/599649871,47.1695083 9.4938445,historic:memorial;material:stone;memorial:stele;name:Rheindenkmal;wheelchair:yes
node/654132478,47.2103662 9.5028372,bus:yes;name:Bendern Post;public_transport:stop_position
node/691245686,47.1662278 9.5094822,"addr:city:Schaan;addr:country:LI;addr:housenumber:19;addr:postcode:9494;addr:street:Landstrasse;description:Kulturgeschichtliches Museum;email:domus@schaan.li;fee:no;name:domus - Galerie und Museum;name:en:domus - Gallery and Museum;opening_hours:Fr 14:00-20:00; Sa, Su 14:00-18:00;phone:+4232377280;tourism:museum;website:https://www.schaan.li/gemeinde-politik/verwaltung-abteilungen/geschichte-und-kultur"
node/693323586,47.1673592 9.5116702,addr:country:LI;addr:housenumber:12;addr:street:Reberastrasse;amenity:theatre;name:TAK Theater Liechtenstein;toilets:wheelchair:yes;wheelchair:yes;wikidata:Q43100590;wikimedia_commons:Category:TAK Theater Liechtenstein;wikipedia:de:Theater am Kirchplatz TaK
node/757459272,47.1813841 9.5240824,"bench:yes;bin:yes;ele:452;highway:bus_stop;lit:yes;name:Schaan Hilti;operator:LIEmobil;public_transport:platform;shelter:yes;uic_name:Schaan, Hilti;uic_ref:8574343"
node/761514898,47.1271915 9.5392549,bus:yes;name:Triesenberg Samina;public_transport:stop_position
node/761534684,47.112666 9.54312,"bench:yes;bin:yes;bus:yes;departures_board:timetable;ele:810;highway:bus_stop;kerb:raised;kerb:approach_aid:yes;name:Triesenberg Täscherloch;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;public_transport:platform;shelter:yes;tactile_paving:yes;uic_name:Triesenberg, Täscherloch;uic_ref:8574420;wheelchair:yes"
node/761534685,47.1181858 9.5431817,"bench:yes;bus:yes;departures_board:realtime;ele:884;highway:bus_stop;kerb:no;name:Triesenberg Dorfzentrum;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;old_name:Triesenberg Post;operator:LIEmobil;passenger_information_display:yes;public_transport:platform;shelter:yes;tactile_paving:no;uic_name:Triesenberg, Dorfzentrum;uic_ref:8509698"
node/935278248,47.1469168 9.5260351,ele:650;name:Wood Bridge platform;tourism:viewpoint
node/984720601,47.1703683 9.5171018,"bus:yes;departures_board:timetable;ele:468;highway:bus_stop;name:Planknerstrasse/Kresta;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;public_transport:platform;shelter:no;source:Bundesamt für Verkehr (BAV), DIDOK 2009;tactile_paving:no;uic_name:Schaan, Planknerstr./Kresta;uic_ref:8580232"
node/984720670,47.2112313 9.5066119,"bench:yes;bin:yes;ele:450;highway:bus_stop;lit:yes;name:Bendern Widagass;public_transport:platform;shelter:yes;source:Bundesamt für Verkehr (BAV), DIDOK 2009;uic_name:Bendern, Widagass;uic_ref:8580200"
node/984720729,47.1835462 9.5430881,"bus:yes;description:kein separates Haltestellenschild für diese Fahrtrichtung;ele:771;highway:bus_stop;name:Planken Abzw. Egerta;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;public_transport:platform;source:Bundesamt für Verkehr (BAV), DIDOK 2009;tactile_paving:no;uic_name:Planken, Abzw. Egerta;uic_ref:8580163"
node/984720777,47.2148793 9.5055673,"ele:448;highway:bus_stop;name:Gamprin Haldenstrasse;operator:LIEmobil;public_transport:platform;uic_name:Gamprin, Haldenstrasse;uic_ref:8580526"
node/984720781,47.1655625 9.5079894,"bench:yes;bus:yes;departures_board:timetable;ele:449;highway:bus_stop;name:Schaan Zentrum/LKW;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;public_transport:platform;shelter:yes;tactile_paving:yes;uic_name:Schaan, Zentrum/LKW;uic_ref:8574387;wheelchair:yes"
node/984720841,47.2075623 9.5021269,"bench:yes;ele:441;highway:bus_stop;name:Bendern Under Atzig;operator:LIEmobil;public_transport:platform;shelter:yes;source:Bundesamt für Verkehr (BAV), DIDOK 2009;uic_name:Bendern, Under Atzig;uic_ref:8580488"
node/984720874,47.2094319 9.5197111,"bench:yes;bin:yes;ele:450;highway:bus_stop;lit:yes;name:Eschen Haldengass;public_transport:platform;shelter:yes;uic_name:Eschen, Haldengasse;uic_ref:8580490"
node/984720896,47.2048383 9.5473015,"bench:no;bin:no;ele:452;highway:bus_stop;lit:no;name:Nendeln Kohlmahd;operator:LIEmobil;public_transport:platform;shelter:no;source:Bundesamt für Verkehr (BAV), DIDOK 2009;uic_name:Nendeln, Kohlmahd;uic_ref:8580500"
node/984720973,47.1793279 9.5075843,"bench:no;bin:no;bus:yes;departures_board:timetable;ele:452;highway:bus_stop;lit:yes;name:Schaan Rosengarten;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;public_transport:platform;shelter:no;source:Bundesamt für Verkehr (BAV), DIDOK 2009;uic_name:Schaan, Rosengarten;uic_ref:8580811"
node/984721274,47.2204461 9.5431246,"bus:yes;ele:454;highway:bus_stop;name:Mauren Kirche;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;public_transport:platform;source:Bundesamt für Verkehr (BAV), DIDOK 2009;uic_name:Mauren FL, Kirche;uic_ref:8588287"
node/984721496,47.1663693 9.5188772,"ele:520;highway:bus_stop;name:Schaan, St. Elisabeth;operator:PAG;public_transport:platform;source:Bundesamt für Verkehr (BAV), DIDOK 2009;uic_name:Schaan, St. Elisabeth;uic_ref:8582939"
node/984721502,47.166661 9.516945,"ele:500;highway:bus_stop;name:Schaan, Realschule;operator:PAG;public_transport:platform;source:Bundesamt für Verkehr (BAV), DIDOK 2009;uic_name:Schaan, Realschule;uic_ref:8582936"
node/984721591,47.1577137 9.5096809,"bench:no;ele:453;highway:bus_stop;name:Schaan Quader;operator:PAG;public_transport:platform;shelter:no;source:Bundesamt für Verkehr (BAV), DIDOK 2009;uic_name:Schaan, Quader;uic_ref:8582877"
node/984721653,47.1681408 9.5121121,"bench:yes;bin:yes;bus:yes;departures_board:timetable;ele:450;highway:bus_stop;lit:yes;name:Schaan Theater;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;public_transport:platform;shelter:yes;source:Bundesamt für Verkehr (BAV), DIDOK 2009;tactile_paving:yes;uic_name:Schaan, Theater;uic_ref:8579680;wheelchair:yes"
node/984721690,47.1734363 9.5342427,"bus:yes;departures_board:timetable;ele:583;highway:bus_stop;name:Schaan Fürstenweg;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;public_transport:platform;shelter:no;source:Bundesamt für Verkehr (BAV), DIDOK 2009;tactile_paving:no;uic_name:Schaan, Fürstenweg;uic_ref:8579682"
node/984721715,47.113579 9.5496408,"bench:yes;bin:yes;bus:yes;covered:yes;departures_board:timetable;ele:980;highway:bus_stop;kerb:yes;name:Triesenberg Steinort;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;public_transport:platform;shelter:yes;source:Bundesamt für Verkehr (BAV), DIDOK 2009;uic_name:Triesenberg, Steinort;uic_ref:8574423"
node/984721724,47.2233431 9.5208291,"bus:yes;ele:520;highway:bus_stop;name:Gamprin Michel-Oehri;operator:LIEmobil;public_transport:platform;source:Bundesamt für Verkehr (BAV), DIDOK 2009;uic_name:Gamprin, Michel-Oehri;uic_ref:8579683"
node/984721747,47.1168429 9.5467255,"bench:yes;bin:yes;bus:yes;departures_board:timetable;ele:946;highway:bus_stop;kerb:yes;name:Triesenberg Obergufer;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;public_transport:platform;shelter:yes;source:Bundesamt für Verkehr (BAV), DIDOK 2009;tactile_paving:yes;uic_name:Triesenberg, Obergufer;uic_ref:8574422"
node/984721900,47.1290275 9.5401259,"bus:yes;departures_board:timetable;ele:1005;highway:bus_stop;name:Triesenberg Almeina;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;public_transport:platform;uic_name:Triesenberg, Almeina;uic_ref:8579674"
node/984721969,47.2146979 9.5356822,"ele:454;highway:bus_stop;name:Mauren Fallsgass;operator:LIEmobil;public_transport:platform;source:Bundesamt für Verkehr (BAV), DIDOK 2009;uic_name:Mauren FL, Fallsgass;uic_ref:8579678"
node/984721973,47.218047 9.5104303,"bench:yes;bus:yes;ele:421;highway:bus_stop;name:Gamprin Gemeindehaus;operator:LIEmobil;public_transport:platform;shelter:no;source:Bundesamt für Verkehr (BAV), DIDOK 2009;uic_name:Gamprin, Gemeindehaus;uic_ref:8574367"
node/984721993,47.1978179 9.5016936,"bench:yes;bin:yes;bus:yes;ele:441;highway:bus_stop;lit:yes;name:Bendern Pinocchio;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;public_transport:platform;shelter:yes;source:Bundesamt für Verkehr (BAV), DIDOK 2009;uic_name:Bendern, Pinocchio;uic_ref:8574365"
node/984722014,47.1754536 9.5084995,"bench:yes;bin:yes;bus:yes;departures_board:realtime;ele:452;highway:bus_stop;lit:yes;name:Schaan Hilcona;network:Liechtenstein Bus;network:short:VLM;network:wikidata:Q172652;operator:LIEmobil;passenger_information_display:yes;public_transport:platform;shelter:yes;source:Bundesamt für Verkehr (BAV), DIDOK 2009;tactile_paving:yes;uic_name:Schaan, Hilcona;uic_ref:8574364;wheelchair:yes"
node/984722028,47.1857136 9.5457663,bus:yes;name:Planken Schulhaus;public_transport:stop_position
